"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"11/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"1.808.826,16";"13.644.464,58";"186.144.300,18";"965.904,00";
"02/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 359.550.580,60";"308.378.788,68";"294.017.120,72";"22.485.256,54";
"08/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"35.747.200,43";"318.044.025,82";"314.478.437,51";"2.611.099,48";
"04/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"277.261.055,04";"310.569.725,75";"311.137.461,87";"2.067.304,58";
"01/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"3.159.878.346,60";"277.492.897,95";"99.768.371,98";"265.370.842,94";
"03/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"29.699.389,80";"315.514.191,50";"327.851.315,57";"2.208.368,06";
"05/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"21.743.490,31";"314.535.590,03";"316.376.889,06";"15.670.590,09";
"09/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"52.476.645,79";"308.233.023,80";"311.425.292,76";"1.132.814,15";
"06/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"17.789.269,49";"376.605.009,00";"310.177.632,44";"3.369.362,83";
"10/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"177.849.596,40";"317.643.233,51";"314.465.818,97";"631.816,94";
"07/2022";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"350.766.550,66";"309.962.902,13";"381.932.569,51";"1.819.654,57";
"11/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"647.147,28";"634.143,45";"1.572.585,85";"739.368,71";
"07/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"13.098.944,22";"2.733.528,27";"3.039.038,16";"1.619.453,22";
"04/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"2.628.212,66";"1.702.342,41";"1.703.630,23";"1.373.345,59";
"01/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"7.960.023,13";"1.208.470,42";"421.514,48";"1.150.374,33";
"10/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"100.840,76";"2.054.743,23";"1.840.766,85";"1.160.280,50";
"08/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"- 2.434.545,57";"4.204.031,77";"4.161.999,32";"1.037.507,78";
"03/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"4.474.929,42";"1.900.746,99";"1.910.147,17";"2.012.782,28";
"02/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"1.993.293,65";"1.380.013,09";"1.329.256,08";"892.034,91";
"06/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"2.283.006,58";"2.294.894,92";"2.041.047,78";"242.251,18";
"05/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"1.550.032,73";"2.215.574,89";"2.199.298,64";"2.116.510,91";
"09/2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20402 - Agência Espacial Brasileira";"1.832.788,23";"2.400.287,29";"2.438.289,36";"9.670.609,94";
"05/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"18.663.226,83";"36.803.917,60";"38.600.194,41";"700.984,12";
"03/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"6.024.151,77";"39.376.213,53";"38.615.703,14";"564.961,65";
"07/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"3.457.032,25";"36.295.274,76";"43.190.253,03";"692.898,83";
"04/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"41.025.087,27";"37.106.922,48";"37.450.720,72";"3.410.248,77";
"01/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"370.354.293,68";"33.256.577,97";"10.937.149,30";"28.330.235,51";
"02/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"8.825.612,11";"34.713.164,19";"35.955.054,05";"4.947.625,37";
"08/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"5.119.706,60";"38.492.401,94";"39.204.128,40";"14.095,48";
"11/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"1.029.982,70";"4.307.475,94";"26.430.951,96";"88.092,00";
"06/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"4.378.468,68";"45.291.594,33";"38.448.070,05";"1.987.634,79";
"09/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"3.413.239,96";"39.551.140,91";"38.878.863,34";"138.036,78";
"10/2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"3.204.176,18";"38.214.267,60";"40.037.992,87";"607.860,77";
"08/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"4.210.789,21";"365.495.877,06";"365.465.761,81";"341.564,29";
"11/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"147.734.695,66";"131.738.840,65";"141.604.206,64";"11.898,24";
"05/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.142.528,66";"403.231.817,82";"403.355.406,22";"1.397.810,04";
"06/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"1.137.681,97";"397.922.873,02";"394.643.240,44";"89.429,93";
"07/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"11.340.885,59";"379.311.846,77";"382.708.189,62";"35.629,64";
"04/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"78.675.626,90";"529.984.258,35";"534.062.448,02";"1.917.873,05";
"03/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"2.971.876,85";"336.284.491,73";"332.586.400,55";"9.956.087,66";
"09/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"3.481.732,53";"229.989.640,83";"230.140.198,39";"2.409.519,64";
"10/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"7.001.249,60";"497.742.397,44";"497.217.514,14";"0,00";
"01/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"4.279.951.209,26";"152.885.511,50";"142.487.570,77";"171.127.148,09";
"02/2022";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"6.332.996,23";"226.861.253,08";"226.665.710,60";"480.079,09";
"06/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.410.298,52";"477.603.925,84";"471.851.193,15";"896.995,85";
"03/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.842.436,88";"846.059.250,51";"845.603.494,96";"478.843.361,70";
"05/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"1.665.280.671,87";"511.770.945,25";"512.402.768,66";"21.075.675,61";
"07/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.970.619,82";"528.350.537,39";"534.227.442,93";"107.301,89";
"08/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.910.463,82";"670.391.326,69";"669.809.340,15";"161.383,22";
"09/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"6.386.331,79";"552.339.906,82";"552.761.628,32";"48.015,94";
"11/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"995.996,22";"1.449.085,03";"16.579.014,11";"4.577,00";
"01/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"276.954.467,96";"20.431.663,72";"5.609.137,52";"562.851.080,59";
"10/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"3.102.740,53";"576.775.480,16";"575.907.031,63";"0,00";
"04/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"17.734.160,95";"354.202.498,03";"354.168.658,52";"78.680.158,26";
"02/2022";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"7.559.819.638,73";"23.851.880,57";"23.674.068,48";"95.922.680,80";
"09/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"5.819.494,44";"22.145.690,81";"22.011.412,73";"14.449,41";
"11/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.960.726,75";"3.081.292,37";"11.979.022,03";"6.162,88";
"05/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"9.253.144,54";"24.008.988,45";"24.069.555,66";"104.683,73";
"03/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"7.222.939,95";"22.033.402,62";"22.315.441,79";"227.153,78";
"06/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.864.021,38";"23.419.629,46";"19.681.014,54";"2.773,32";
"04/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"6.594.904,56";"20.990.109,95";"21.387.537,55";"677.175,02";
"10/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"5.291.080,80";"20.545.598,91";"20.396.747,92";"24.976,70";
"08/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"6.380.053,84";"22.236.530,40";"22.333.011,03";"0,00";
"01/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"201.612.366,21";"15.678.182,36";"6.162.154,03";"16.248.524,71";
"07/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"8.854.420,92";"22.931.169,59";"26.814.283,17";"401.352,64";
"02/2022";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.363.231,70";"20.055.222,89";"19.614.974,51";"3.182.768,12";
"07/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"313.274,44";"10.412.941,09";"12.611.359,43";"207.041,67";
"08/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"3.756.118,61";"10.798.705,93";"10.364.749,97";"61.103,23";
"10/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"602.095,80";"11.448.973,77";"11.653.602,18";"15.300,00";
"01/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"117.623.398,47";"9.116.904,91";"3.067.829,72";"8.761.111,27";
"04/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"16.073.857,49";"11.865.381,55";"11.989.159,81";"445.553,22";
"05/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"4.063.270,42";"12.164.524,81";"12.809.815,06";"77.117,52";
"03/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"6.137.520,53";"11.213.737,29";"10.144.939,79";"1.130.268,00";
"02/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"2.484.012,74";"10.312.450,80";"10.025.688,72";"2.053.671,11";
"06/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"- 590.407,65";"12.622.687,45";"11.219.059,45";"357.006,40";
"11/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"- 129.472,67";"1.320.192,21";"7.052.984,16";"0,00";
"09/2022";"39000 - Ministério da Infraestrutura";"68201 - Agência Nacional de Transportes Aquaviários";"1.244.624,27";"12.271.306,73";"12.441.108,51";"2.796,48";
"06/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"6.508.467,21";"41.743.843,27";"37.733.266,31";"843.759,93";
"07/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"22.039.387,99";"37.901.793,48";"42.135.013,01";"583.039,50";
"08/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"4.807.966,77";"38.149.822,90";"40.835.744,55";"130.557,85";
"09/2022";"39000 - Ministério da Infraestrutura";"39250 - Agência Nacional de Transportes Terrestres";"11.409.372,09";"41.628.974,86";"41.953.271,49";"234.351,07";
